Product,Name,Price (INR),Rating,Comment Heading,Comment
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Haripriya  Baishya ,16990.0,4,Worth the money,Nice!
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,SATYANARAYANA REDDY,16990.0,5,Wonderful,Touch screen is awesome... Performance is as expected.. Good product in this price range..
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Flipkart Customer,16990.0,4,Good quality product,Excellent device and most importantly Value for money.Design : 10/10Performance: 9/10Display: 8/10Touch: 8/10Storage: 5/10
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Sristi Bose,16990.0,5,Excellent,"Why will you switch over to a Chromebook from laptop?1. If your work is confined within the MS office package.2. If your child attends online classes.3. If you need not to do any heavy software works ( programming or massive picture editing)4. If you want a lightweight but sturdy machine.5. If you like a android interface.6. If you have a steady internet connection.If any or all of the criteria matches with you, just go for it.Initially, there will be some amount of difficulties wit..."
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Flipkart Customer,16990.0,5,Worth every penny,Very stylish and compact.. Suitable for light users and entertainment lovers
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,pritam bera,16990.0,5,Classy product,Cute little product that I purchased for my wife and she is quite happy with it.
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Kichu Kic,16990.0,3,Does the job,All good but bluetooth not working and swith on automatically want to replace thank u
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Sayan Roy,16990.0,5,Awesome,I love HP Chromebook. Best Value of money 😎
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Sourabh Verma,16990.0,5,Super!,"I wonder why nobody posted pics for snow white variant. It looks super awesome. Ok for those who are wondering whether this device is just for students and kids then answer is NO. It's equally great for productivity and office work. Crostini (Linux apps support) is awesome , it opens up whole new possibilities of having Linux apps along with Android apps and Chrome OS extensions. Battery backup is unbelievable and this has to be great due to low power and efficient mediatek chip. If you want ..."
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,Chandani Shah,16990.0,5,Fabulous!,"i loved it, superb performance, awesome battery and touch is just wow.. this is a complete package, design is also premium and build is also premium, loved it ...."
