Product,Name,Price (INR),Rating,Comment Heading,Comment,Sentiment
"APPLE iPhone 12 (Black, 64 GB)",Kuldeep  Prakash,53999.0,5,Simply awesome,"Excellent camera , good performance,average battery",Positive
"APPLE iPhone 12 (Black, 64 GB)",Rupesh Thik,53999.0,5,Simply awesome,Awesome Camera,Positive
"APPLE iPhone 12 (Black, 64 GB)",Arjun  Chakravarti ,53999.0,5,Classy product,Awesome,Positive
"APPLE iPhone 12 (Black, 64 GB)",Najir  Hussain ,53999.0,5,Terrific,Awesome camera quality…just love it,Positive
"APPLE iPhone 12 (Black, 64 GB)",Shivam Kengale,53999.0,5,Must buy!,Go for it,Positive
"APPLE iPhone 12 (Black, 64 GB)",Jaya chandra  Reddy,53999.0,5,Simply awesome,Amazing phone  In love with this phone,Positive
"APPLE iPhone 12 (Black, 64 GB)",Amit Kumar Suwalka,53999.0,5,Awesome,Nice camera 📸,Positive
"APPLE iPhone 12 (Black, 64 GB)",Shivam Thakur,53999.0,5,Terrific,I am very happy with I phone 12Very Nice Product Thanku Flipkart,Positive
"APPLE iPhone 12 (Black, 64 GB)",Flipkart Customer,53999.0,4,Good quality product,"Everything is great except the battery life, camera is awesome",Positive
"APPLE iPhone 12 (Black, 64 GB)",Sunita  Yadav,53999.0,5,Classy product,This is the value for money phone. For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality Ultimate,Positive
"APPLE iPhone 12 (Black, 64 GB)",No Name,53999.0,No Rating,No Comment Heading,,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Kuldeep  Prakash,53999.0,5,Simply awesome,"Excellent camera , good performance,average battery",Positive
"APPLE iPhone 12 (Purple, 64 GB)",Rupesh Thik,53999.0,5,Simply awesome,Awesome Camera,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Arjun  Chakravarti ,53999.0,5,Classy product,Awesome,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Najir  Hussain ,53999.0,5,Terrific,Awesome camera quality…just love it,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Shivam Kengale,53999.0,5,Must buy!,Go for it,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Jaya chandra  Reddy,53999.0,5,Simply awesome,Amazing phone  In love with this phone,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Amit Kumar Suwalka,53999.0,5,Awesome,Nice camera 📸,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Shivam Thakur,53999.0,5,Terrific,I am very happy with I phone 12Very Nice Product Thanku Flipkart,Positive
"APPLE iPhone 12 (Purple, 64 GB)",Flipkart Customer,53999.0,4,Good quality product,"Everything is great except the battery life, camera is awesome",Positive
"APPLE iPhone 12 (Purple, 64 GB)",Sunita  Yadav,53999.0,5,Classy product,This is the value for money phone. For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality Ultimate,Positive
"APPLE iPhone 12 (Purple, 64 GB)",No Name,53999.0,No Rating,No Comment Heading,,Positive
"APPLE iPhone 12 (White, 64 GB)",Kuldeep  Prakash,53999.0,5,Simply awesome,"Excellent camera , good performance,average battery",Positive
"APPLE iPhone 12 (White, 64 GB)",Rupesh Thik,53999.0,5,Simply awesome,Awesome Camera,Positive
"APPLE iPhone 12 (White, 64 GB)",Arjun  Chakravarti ,53999.0,5,Classy product,Awesome,Positive
"APPLE iPhone 12 (White, 64 GB)",Najir  Hussain ,53999.0,5,Terrific,Awesome camera quality…just love it,Positive
"APPLE iPhone 12 (White, 64 GB)",Shivam Kengale,53999.0,5,Must buy!,Go for it,Positive
"APPLE iPhone 12 (White, 64 GB)",Jaya chandra  Reddy,53999.0,5,Simply awesome,Amazing phone  In love with this phone,Positive
"APPLE iPhone 12 (White, 64 GB)",Amit Kumar Suwalka,53999.0,5,Awesome,Nice camera 📸,Positive
"APPLE iPhone 12 (White, 64 GB)",Shivam Thakur,53999.0,5,Terrific,I am very happy with I phone 12Very Nice Product Thanku Flipkart,Positive
"APPLE iPhone 12 (White, 64 GB)",Flipkart Customer,53999.0,4,Good quality product,"Everything is great except the battery life, camera is awesome",Positive
"APPLE iPhone 12 (White, 64 GB)",Sunita  Yadav,53999.0,5,Classy product,This is the value for money phone. For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality Ultimate,Positive
"APPLE iPhone 12 (White, 64 GB)",No Name,53999.0,No Rating,No Comment Heading,,Positive
"APPLE iPhone 12 (Blue, 64 GB)",Kuldeep  Prakash,53999.0,5,Simply awesome,"Excellent camera , good performance,average battery",Positive
"APPLE iPhone 12 (Blue, 64 GB)",Rupesh Thik,53999.0,5,Simply awesome,Awesome Camera,Positive
